Species,Family,Authority,Growth Form,Exotic,
Jugastrum sp(NH),Lecythidaceae,,>10 cm dbh,,
Kielmeyera sp.,Clusiaceae,,,,
Kotchubaea AD1233,Rubiaceae,,>10 cm dbh,,
Kotchubaea insignis.cf,Rubiaceae,,,,
Kotchubaea sericantha.cf,Rubiaceae,Standl.,>10 cm dbh,,
Kotchubaea sp(FPR),Rubiaceae,,>10 cm dbh,,
Kotchubaea sp1(FPR),Rubiaceae,,>10 cm dbh,,
Lacistema aggregatum_'chica',Lacistemataceae,,>10 cm dbh,,
Lacistema aggregatum_'morac',Lacistemataceae,,,,
Lacistema med,Lacistemataceae,,M,,
Lacistema sp.1,Lacistemataceae,,,,
Lacistema sp.2,Lacistemataceae,,,,
Lacistema sp_mss1952,Lacistemataceae,,T,,
Lacmellea spx,Apocynaceae,,>10 cm dbh,,
Lacunaria 'green',Quiinaceae,,>10 cm dbh,,
Lacunaria crenada,Quiinaceae,,M,,
Lacunaria indet1,Quiinaceae,,,,
Lacunaria sp(AD),Quiinaceae,,>10 cm dbh,,
Lacunaria sp(FPR),Quiinaceae,,>10 cm dbh,,
Lacunaria sp(NH),Quiinaceae,,>10 cm dbh,,
Ladenbergia AD645,Rubiaceae,,>10 cm dbh,,
Ladenbergia MS5025,Rubiaceae,,>10 cm dbh,,
Ladenbergia sp(NH),Rubiaceae,,>10 cm dbh,,
Ladenbergia sp_dui2336,Rubiaceae,,T,,
Lafoensia 'impreso',Lythraceae,,>10 cm dbh,,
Lantana sp.,Verbenaceae,,,,
Leandra 'roja',Melastomataceae,,S,,
Leandra blanca,Melastomataceae,,S,,
Leandra sp_1,Melastomataceae,,S,,
Lecointea amazonica.aff,Fabaceae-papilionoideae,,,,
Lecythis AD8941,Lecythidaceae,,>10 cm dbh,,
Lecythis AD9122,Lecythidaceae,,>10 cm dbh,,
Lecythis gracieana.aff,Lecythidaceae,Mori,>10 cm dbh,,
Lecythis indet1,Lecythidaceae,,,,
Lecythis sp(AD),Lecythidaceae,,>10 cm dbh,,
Lecythis spx,Lecythidaceae,,>10 cm dbh,,
Leonia indet1,Violaceae,,,,
Leonia indet2,Violaceae,,,,
Leonia sp(AD),Violaceae,,>10 cm dbh,,
Leonia sp_mss1121,Violaceae,,T,,
Leretia reticbril,Icacinaceae,,V,,
Leucaena spx.PN17742,Fabaceae,,,,
Licania 'bitterlime',Chrysobalanaceae,,>10 cm dbh,,
Licania AD17,Chrysobalanaceae,,>10 cm dbh,,
Licania AD293,Chrysobalanaceae,,>10 cm dbh,,
Licania AD471,Chrysobalanaceae,,>10 cm dbh,,
Licania AD49,Chrysobalanaceae,,>10 cm dbh,,
Licania AD5576,Chrysobalanaceae,,>10 cm dbh,,
Licania AD5593,Chrysobalanaceae,,>10 cm dbh,,
Licania AD569,Chrysobalanaceae,,>10 cm dbh,,
Licania AD5799,Chrysobalanaceae,,>10 cm dbh,,
Licania AD5966,Chrysobalanaceae,,>10 cm dbh,,
Licania AD7474,Chrysobalanaceae,,>10 cm dbh,,
Licania AD7597,Chrysobalanaceae,,>10 cm dbh,,
Licania AD8,Chrysobalanaceae,,>10 cm dbh,,
Licania AD8850,Chrysobalanaceae,,>10 cm dbh,,
Licania AD9325,Chrysobalanaceae,,>10 cm dbh,,
Licania AD9742,Chrysobalanaceae,,>10 cm dbh,,
Licania MS2980,Chrysobalanaceae,,>10 cm dbh,,
Licania MS3602,Chrysobalanaceae,,>10 cm dbh,,
Licania MS4131,Chrysobalanaceae,,>10 cm dbh,,
Licania MS4947,Chrysobalanaceae,,>10 cm dbh,,
Licania MS6009,Chrysobalanaceae,,>10 cm dbh,,
Licania MS6866,Chrysobalanaceae,,>10 cm dbh,,
Licania britteniana_'rounded',Chrysobalanaceae,,,,
Licania caudata.aff,Chrysobalanaceae,Prance,>10 cm dbh,,
Licania celiae.aff,Chrysobalanaceae,,>10 cm dbh,,
Licania durifolia_complex_sp.1,Chrysobalanaceae,,>10 cm dbh,,
Licania durifolia_complex_sp.2,Chrysobalanaceae,,>10 cm dbh,,
Licania fanshawei.aff,Chrysobalanaceae,Prance,>10 cm dbh,,
Licania filo,Chrysobalanaceae,,M,,
Licania granblanca.sp,Chrysobalanaceae,,T,,
Licania hipofuzzy,Chrysobalanaceae,,T,,
Licania hypoleuca.aff,Chrysobalanaceae,Benth.,>10 cm dbh,,
Licania indet1,Chrysobalanaceae,,,,
Licania krukovii.aff,Chrysobalanaceae,,>10 cm dbh,,
Licania lata.aff,Chrysobalanaceae,Macbr.,>10 cm dbh,,
Licania nervifina,Chrysobalanaceae,,T,,
Licania opaca.sp,Chrysobalanaceae,,T,,
Licania pallida.aff,Chrysobalanaceae,,>10 cm dbh,,
Licania pinesii.aff,Chrysobalanaceae,Prance,>10 cm dbh,,
Licania sandwithii.aff,Chrysobalanaceae,Prance,>10 cm dbh,,
Licania sp(FPR),Chrysobalanaceae,,>10 cm dbh,,
Licania sp(JFP),Chrysobalanaceae,,>10 cm dbh,,
Licania sp(NH),Chrysobalanaceae,,>10 cm dbh,,
Licania sp.1,Chrysobalanaceae,,,,
Licania sp.1,Chrysobalanaceae,,,,
Licania sp.1,Chrysobalanaceae,,,,
Licania sp.1(DAN),Chrysobalanaceae,,>10 cm dbh,,
Licania sp.1(JFP),Chrysobalanaceae,,>10 cm dbh,,
Licania sp.10,Chrysobalanaceae,,,,
Licania sp.11,Chrysobalanaceae,,,,
Licania sp.12,Chrysobalanaceae,,,,
Licania sp.13,Chrysobalanaceae,,,,
Licania sp.14,Chrysobalanaceae,,,,
Licania sp.15,Chrysobalanaceae,,,,
Licania sp.2,Chrysobalanaceae,,,,
Licania sp.22(NH),Chrysobalanaceae,,>10 cm dbh,,
Licania sp.3,Chrysobalanaceae,,,,
Licania sp.3,Chrysobalanaceae,,,,
Licania sp.3,Chrysobalanaceae,,,,
Licania sp.3,Chrysobalanaceae,,,,
Licania sp.4,Chrysobalanaceae,,,,
Licania sp.4,Chrysobalanaceae,,,,
Licania sp.5,Chrysobalanaceae,,,,
Licania sp.5,Chrysobalanaceae,,,,
Licania sp.6,Chrysobalanaceae,,,,
Licania sp.7,Chrysobalanaceae,,,,
Licania sp.8,Chrysobalanaceae,,,,
Licania sp.9,Chrysobalanaceae,,,,
Licania sp1(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp1(FPR),Chrysobalanaceae,,>10 cm dbh,,
Licania sp10(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp11(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp12(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp13(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp14(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp15(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp16(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp17(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp2(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp3(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp4(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp5(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp6(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp7(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp8(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp9(AD),Chrysobalanaceae,,>10 cm dbh,,
Licania sp_dui2738,Chrysobalanaceae,,U,,
Licania sp_dui427,Chrysobalanaceae,,T,,
Licania sp_jbr1392,Chrysobalanaceae,,T,,
Licania sp_jbr1409,Chrysobalanaceae,,T,,
Licania sp_jbr1452,Chrysobalanaceae,,T,,
Licania sp_mss1376,Chrysobalanaceae,,T,,
Licania sp_mss161,Chrysobalanaceae,,T,,
Licania sp_mss1676,Chrysobalanaceae,,T,,
Licania sp_mss1729,Chrysobalanaceae,,T,,
Licania sp_mss445,Chrysobalanaceae,,T,,
Licania sp_mss484,Chrysobalanaceae,,T,,
Licania sp_mss586,Chrysobalanaceae,,T,,
Licania sp_mss706,Chrysobalanaceae,,T,,
Licania sp_ncg437,Chrysobalanaceae,,T,,
Licania sp_pap1578,Chrysobalanaceae,,T,,
Licania sp_pap1950,Chrysobalanaceae,,T,,
Licania sp_pap2169,Chrysobalanaceae,,T,,
Licania spx,Chrysobalanaceae,,>10 cm dbh,,
Licania spx.PN14839,Chrysobalanaceae,,,,
Licania spx.pelos,Chrysobalanaceae,,,,
Licania urseolaris,Chrysobalanaceae,,T,,
Licania zigzag,Chrysobalanaceae,,M,,
Licaria 'arco_seco',Lauraceae,,U,,
Licaria AD519,Lauraceae,,>10 cm dbh,,
Licaria CH_sp1,Lauraceae,,T,,
Licaria MS2978,Lauraceae,,>10 cm dbh,,
Licaria MS3520,Lauraceae,,>10 cm dbh,,
Licaria MS3647,Lauraceae,,>10 cm dbh,,
Licaria MS4088,Lauraceae,,>10 cm dbh,,
Licaria MS4403,Lauraceae,,>10 cm dbh,,
Licaria MS4821,Lauraceae,,>10 cm dbh,,
Licaria brillacuspi,Lauraceae,,M,,
Licaria cannella_s.l.cf,Lauraceae,,U,,
Licaria indet1,Lauraceae,,,,
Licaria indet2,Lauraceae,,,,
Licaria sp(AD),Lauraceae,,>10 cm dbh,,
Licaria sp(NH),Lauraceae,,>10 cm dbh,,
Licaria sp.1,Lauraceae,,,,
Licaria sp.1(DAN),Lauraceae,,>10 cm dbh,,
Licaria sp.2,Lauraceae,,,,
Licaria sp_pap1685,Lauraceae,,T,,
Licaria spx,Lauraceae,,>10 cm dbh,,
Lindackeria indet1,Achariaceae,,,,
Lindackeria sp_mss1443,Achariaceae,,T,,
Lonchocarpus CH_sp1,Fabaceae-papilionoideae,,T,,
Lonchocarpus LT_sp1,Fabaceae-papilionoideae,,T,,
Lonchocarpus guil,Fabaceae-papilionoideae,,T,,
Lonchocarpus sp.,Fabaceae-papilionoideae,,,,
Lonchocarpus sp.2,Fabaceae-papilionoideae,,,,
Lonchocarpus sp.4,Fabaceae-papilionoideae,,,,
Lonchocarpus spx,Fabaceae-papilionoideae,,>10 cm dbh,,
Lonchocarpus spx.pelos,Fabaceae-papilionoideae,,,,
Loreya sp_pap2087,Melastomataceae,,T,,
Lorostemon sp.1,Clusiaceae,,,,
Lozania mediana,Lacistemataceae,,M,,
Luehea 'deciduous',Malvaceae,,>10 cm dbh,,
Luehea 'white',Malvaceae,,,,
Luehea indet1,Malvaceae,,,,
Luehea indet2,Malvaceae,,,,
Luehea seemannii.cf,Malvaceae,,,,
Luehea sp(AD),Malvaceae,,>10 cm dbh,,
Luehea sp.1,Malvaceae,,,,
Luehea sp.1,Malvaceae,,,,
Luehea sp_mss283,Malvaceae,,T,,
Luehea sp_pap1818,Malvaceae,,T,,
Luehea speciosa.cf,Malvaceae,,,,
Lueheopsis AD9869,Malvaceae,,>10 cm dbh,,
Lueheopsis hoja.sp.caqueta.du,Malvaceae,,T,,
Lueheopsis sp.1,Malvaceae,,,,
Lueheopsis sp_dui936,Malvaceae,,U,,
Lueheopsis sp_mss1161,Malvaceae,,T,,
Lunania sp.1,Salicaceae,,,,
Mabea 'reticulate',Euphorbiaceae,,>10 cm dbh,,
Mabea MS3136,Euphorbiaceae,,>10 cm dbh,,
Mabea MS6543,Euphorbiaceae,,>10 cm dbh,,
Mabea MS7008,Euphorbiaceae,,>10 cm dbh,,
Mabea caudata.aff,Euphorbiaceae,Pax & K. Hoffm.,>10 cm dbh,,
Mabea comun,Euphorbiaceae,,U,,
Mabea guianensis.sp.madredios.ph,Euphorbiaceae,,,,
Mabea indet1,Euphorbiaceae,,,,
Mabea maynensis.aff,Euphorbiaceae,,>10 cm dbh,,
Mabea nitida.aff,Euphorbiaceae,,>10 cm dbh,,
Mabea occidentalis.aff,Euphorbiaceae,,>10 cm dbh,,
Mabea sp(FPR),Euphorbiaceae,,>10 cm dbh,,
Mabea sp.1,Euphorbiaceae,,,,
Mabea sp.2,Euphorbiaceae,,,,
Mabea sp.3,Euphorbiaceae,,,,
Mabea sp.4,Euphorbiaceae,,,,
Mabea sp.B.GU,Euphorbiaceae,,T,,
Mabea sp1(AD),Euphorbiaceae,,>10 cm dbh,,
Mabea sp_colombia,Euphorbiaceae,,T,,
Mabea sp_pap1656,Euphorbiaceae,,T,,
Mabea spx.Acevedo9786,Euphorbiaceae,,,,
Mabea superbrondu,Euphorbiaceae,,M,,
Machaerium 1,Fabaceae-papilionoideae,,>10 cm dbh,,
Machaerium AD1957,Fabaceae-papilionoideae,,>10 cm dbh,,
Machaerium AD8978,Fabaceae-papilionoideae,,>10 cm dbh,,
Machaerium MS3775,Fabaceae-papilionoideae,,>10 cm dbh,,
Machaerium aristulatum.aff,Fabaceae-papilionoideae,,>10 cm dbh,,
Machaerium cuspidatum,Fabaceae-papilionoideae,Kuhlm. & Hoehne,V,,
Machaerium finiparalel,Fabaceae-papilionoideae,,"M,V",,
Machaerium granseda,Fabaceae-papilionoideae,,V,,
Machaerium sp(AD),Fabaceae-papilionoideae,,>10 cm dbh,,
Machaerium sp.4,Fabaceae-papilionoideae,,,,
Machaerium sp.8,Fabaceae-papilionoideae,,,,
Machaerium sp.9,Fabaceae-papilionoideae,,,,
Machaerium sp_colombia,Fabaceae-papilionoideae,,T,,
Machaerium spx.PN14861,Fabaceae-papilionoideae,,,,
Machaerium spx.PN17160,Fabaceae-papilionoideae,,,,
Macoubea sp(FPR),Apocynaceae,,>10 cm dbh,,
Macrocarpaea sp_1,Gentianaceae,,U,,
Macrolobium 'novel',Fabaceae-caesalpinioideae,,>10 cm dbh,,
Macrolobium AD683,Fabaceae-caesalpinioideae,,>10 cm dbh,,
Macrolobium huberianum.cf,Fabaceae-caesalpinioideae,Ducke,,,
Macrolobium indet1,Fabaceae-caesalpinioideae,,,,
Macrolobium indet2,Fabaceae-caesalpinioideae,,,,
Macrolobium sp(AD),Fabaceae-caesalpinioideae,,>10 cm dbh,,
Macrolobium sp(FPR),Fabaceae-caesalpinioideae,,>10 cm dbh,,
Macrolobium sp.1,Fabaceae-caesalpinioideae,,,,
Macrolobium sp.1,Fabaceae-caesalpinioideae,,,,
Macrolobium sp.1,Fabaceae-caesalpinioideae,,,,
Macrolobium sp.2,Fabaceae-caesalpinioideae,,,,
Macrolobium sp.2,Fabaceae-caesalpinioideae,,,,
Macrolobium sp_mss1861,Fabaceae-caesalpinioideae,,T,,
Macrolobium sp_mss369,Fabaceae-caesalpinioideae,,T,,
Macrolobium sp_mss779,Fabaceae-caesalpinioideae,,T,,
Macrolobium sp_mss876,Fabaceae-caesalpinioideae,,T,,
Macrolobium sp_mss876/884,Fabaceae-caesalpinioideae,,T,,
Macrolobium sp_mss884,Fabaceae-caesalpinioideae,,T,,
Macrolobium sp_mss958,Fabaceae-caesalpinioideae,,T,,
Macrolobium spx,Fabaceae-caesalpinioideae,,>10 cm dbh,,
Macrolobium yasuni,Fabaceae-caesalpinioideae,,U,,
Macrosamanea AD5090,Fabaceae,,>10 cm dbh,,
Malanea ciliata,Rubiaceae,,V,,
Malmea AD3958,Annonaceae,,>10 cm dbh,,
Malmea AD5761,Annonaceae,,>10 cm dbh,,
Malmea indet1,Annonaceae,,,,
Malmea sp.(MS),Annonaceae,,>10 cm dbh,,
Malmea spx.Acevedo9759,Annonaceae,,,,
Malouetia AD9614,Apocynaceae,,>10 cm dbh,,
Malouetia sp_jbr1570,Apocynaceae,,T,,
Manilkara cavalcantei.cf,Sapotaceae,(Pires & Rodr.),>10 cm dbh,,
Manilkara indet1,Sapotaceae,,,,
Manilkara sp.1,Sapotaceae,,T,,
Manilkara sp.2,Sapotaceae,,T,,
Manilkara sp_mss214,Sapotaceae,,T,,
Manilkara spx,Sapotaceae,,>10 cm dbh,,
Manilkara spx.Acevedo9788,Sapotaceae,,,,
Manilkara spx.Acevedo9801,Sapotaceae,,,,
Manilkara spx.PN15529,Sapotaceae,,,,
Mansoa ajo,Bignoniaceae,,V,,
Maquira AD1028,Moraceae,,>10 cm dbh,,
Maquira MS2973,Moraceae,,>10 cm dbh,,
Maquira MS3114,Moraceae,,>10 cm dbh,,
Maquira guianensis_s.l.cf,Moraceae,Aubl.,T,,
Maquira indet1,Moraceae,,,,
Maquira sp(AD),Moraceae,,>10 cm dbh,,
Maquira sp.(MS),Moraceae,,>10 cm dbh,,
Maquira sp_mss1711,Moraceae,,T,,
Maquira sp_pap1949,Moraceae,,T,,
Maquira spx,Moraceae,,>10 cm dbh,,
Margaritaria roja,Phyllanthaceae,,T,,
Marila 'myrsinac',Clusiaceae,,>10 cm dbh,,
Marila comun,Clusiaceae,,T,,
Marila indet1,Clusiaceae,,,,
Marila puntorojo,Clusiaceae,,T,,
Marila sp.1,Clusiaceae,,,,
Marila sp.3,Clusiaceae,,,,
Marlierea AD3907,Myrtaceae,,>10 cm dbh,,
Marlierea AD4090,Myrtaceae,,>10 cm dbh,,
Marlierea MS3107,Myrtaceae,,>10 cm dbh,,
Marlierea indet1,Myrtaceae,,,,
Marlierea sp(FPR),Myrtaceae,,>10 cm dbh,,
Marlierea sp.1,Myrtaceae,,,,
Marmaroxylon indet1,Fabaceae,,,,
Matayba CH_sp1,Sapindaceae,,T,,
Matayba MS2916,Sapindaceae,,>10 cm dbh,,
Matayba MS2960,Sapindaceae,,>10 cm dbh,,
Matayba MS3663,Sapindaceae,,>10 cm dbh,,
Matayba arborescens.aff,Sapindaceae,,>10 cm dbh,,
Matayba atropurpurea.cf,Sapindaceae,Radlk.,>10 cm dbh,,
Matayba indet1,Sapindaceae,,,,
Matayba indet2,Sapindaceae,,,,
Matayba indet3,Sapindaceae,,,,
Matayba ocho,Sapindaceae,,T,,
Matayba scrobiculata.cf,Sapindaceae,,,,
Matayba sp(FPR),Sapindaceae,,>10 cm dbh,,
Matayba sp(NH),Sapindaceae,,>10 cm dbh,,
Matayba sp.1,Sapindaceae,,,,
Matayba sp.1,Sapindaceae,,,,
Matayba sp.1,Sapindaceae,,,,
Matayba sp.1,Sapindaceae,,,,
Matayba sp_1,Sapindaceae,,T,,
Matayba spx,Sapindaceae,,>10 cm dbh,,
Matayba spx.MegMcFarland971,Sapindaceae,,,,
Matayba spx.PN17264,Sapindaceae,,,,
Matayba spx.PN17303,Sapindaceae,,,,
Matayba spx.PN18538,Sapindaceae,,,,
Matisia 'okavango',Malvaceae,,>10 cm dbh,,
Matisia 'pseudojefensis',Malvaceae,,,,
Matisia AD5232,Malvaceae,,>10 cm dbh,,
Matisia MS5228,Malvaceae,,>10 cm dbh,,
Matisia MS6166,Malvaceae,,>10 cm dbh,,
Matisia idroboi.aff,Malvaceae,Cuatrec.,,,
Matisia malacocalyx.aff,Malvaceae,,>10 cm dbh,,
Matisia malacocalyx_s.l.cf,Malvaceae,(A. Robyns & S. Nilsson) W. S. Alverson,T,,
Matisia sp(AD),Malvaceae,,>10 cm dbh,,
Matisia sp(FPR),Malvaceae,,>10 cm dbh,,
Matisia sp.1(NH),Malvaceae,,>10 cm dbh,,
Matisia spx,Malvaceae,,>10 cm dbh,,
Mauritia sp.1,Arecaceae,,,,
Mauritiella sp(FPR),Arecaceae,,>10 cm dbh,,
Mayna anelio,Achariaceae,,S,,
Maytenus 'peking',Celastraceae,,>10 cm dbh,,
Maytenus ala,Celastraceae,,M,,
Maytenus cilindrica,Celastraceae,,T,,
Maytenus cuadliso.sp,Celastraceae,,T,,
Maytenus indet1,Celastraceae,,,,
Maytenus krukovii.aff,Celastraceae,,>10 cm dbh,,
Maytenus macrocarpa.cf,Celastraceae,,,,
Maytenus sp,Celastraceae,,T,,
Maytenus sp(AD),Celastraceae,,>10 cm dbh,,
Maytenus sp.,Celastraceae,,,,
Maytenus sp.,Celastraceae,,,,
Maytenus sp.1,Celastraceae,,,,
Maytenus sp.1,Celastraceae,,,,
Maytenus sp.2,Celastraceae,,,,
Meliosma 'hoja_grande',Sabiaceae,,,,
Meliosma AD7295,Sabiaceae,,>10 cm dbh,,
Meliosma ar3365,Sabiaceae,,>10 cm dbh,,
Meliosma cf.herbertii,Sabiaceae,Rolfe,,,
Meliosma doly,Sabiaceae,,T,,
Meliosma palaciosii.aff,Sabiaceae,,>10 cm dbh,,
Meliosma sp.1,Sabiaceae,,,,
Meliosma sp_1,Sabiaceae,,M,,
Meliosma sp_2,Sabiaceae,,M,,
Meliosma spx,Sabiaceae,,>10 cm dbh,,
Meliosma spx.Acevedo9741,Sabiaceae,,,,
Meriania sp_1,Melastomataceae,,U,,
Metteniusa MS6324,Metteniusaceae,,>10 cm dbh,,
Mezia brillaniba,Malpighiaceae,,V,,
Mezilaurus,Lauraceae,,,,
Mezilaurus MS6844,Lauraceae,,>10 cm dbh,,
Mezilaurus extendido,Lauraceae,,M,,
Mezilaurus indet1,Lauraceae,,,,
Mezilaurus spx,Lauraceae,,>10 cm dbh,,
Mezilaurus subcordata.cf,Lauraceae,,,,
Miconia 'flask',Melastomataceae,,>10 cm dbh,,
Miconia 'hojagrande',Melastomataceae,,,,
Miconia 'kallesp119',Melastomataceae,,,,
Miconia 'kallesp125',Melastomataceae,,,,
Miconia 'kallesp3',Melastomataceae,,,,
Miconia 'kallesp4',Melastomataceae,,,,
Miconia 'kallesp44',Melastomataceae,,,,
Miconia 'rust',Melastomataceae,,,,
Miconia 'tipica50ha',Melastomataceae,,,,
Miconia 'white',Melastomataceae,,,,
Miconia AD1151,Melastomataceae,,>10 cm dbh,,
Miconia AD2535,Melastomataceae,,>10 cm dbh,,
Miconia AD5237,Melastomataceae,,>10 cm dbh,,
Miconia AD5413,Melastomataceae,,>10 cm dbh,,
Miconia AD5972,Melastomataceae,,>10 cm dbh,,
Miconia AD6056,Melastomataceae,,>10 cm dbh,,
Miconia AD6297,Melastomataceae,,>10 cm dbh,,
Miconia AD6637,Melastomataceae,,>10 cm dbh,,
Miconia AD6706,Melastomataceae,,>10 cm dbh,,
Miconia AD7244,Melastomataceae,,>10 cm dbh,,
Miconia AD7582,Melastomataceae,,>10 cm dbh,,
Miconia AD8337,Melastomataceae,,>10 cm dbh,,
Miconia AD8614,Melastomataceae,,>10 cm dbh,,
Miconia AD8634,Melastomataceae,,>10 cm dbh,,
Miconia AD893,Melastomataceae,,>10 cm dbh,,
Miconia AD9068,Melastomataceae,,>10 cm dbh,,
Miconia AD9228,Melastomataceae,,>10 cm dbh,,
Miconia AD9394,Melastomataceae,,>10 cm dbh,,
Miconia AD9520,Melastomataceae,,>10 cm dbh,,
Miconia CH_sp1,Melastomataceae,,T,,
Miconia CH_sp2,Melastomataceae,,T,,
Miconia CH_sp3,Melastomataceae,,T,,
Miconia CH_sp4,Melastomataceae,,T,,
Miconia MS4963,Melastomataceae,,>10 cm dbh,,
Miconia ar2217,Melastomataceae,,>10 cm dbh,,
Miconia ar3975,Melastomataceae,,>10 cm dbh,,
Miconia ar4091,Melastomataceae,,>10 cm dbh,,
Miconia ar4135,Melastomataceae,,>10 cm dbh,,
Miconia ar5724,Melastomataceae,,>10 cm dbh,,
Miconia ar5818,Melastomataceae,,>10 cm dbh,,
Miconia ar5965,Melastomataceae,,>10 cm dbh,,
Miconia atenunodu,Melastomataceae,,S,,
Miconia aurea.cf,Melastomataceae,,,,
Miconia bubalina.aff,Melastomataceae,,>10 cm dbh,,
Miconia bubalina.cf,Melastomataceae,,,,
Miconia cf.barbeyana,Melastomataceae,Cogniaux,,,
Miconia chocofres,Melastomataceae,,S,,
Miconia corine,Melastomataceae,,S,,
Miconia crasarb,Melastomataceae,,T,,
Miconia crassinervia.cf,Melastomataceae,Cogn.,>10 cm dbh,,
Miconia dolichorrhyncha.aff,Melastomataceae,,,,
Miconia elata.aff,Melastomataceae,,>10 cm dbh,,
Miconia elatita,Melastomataceae,,U,,
Miconia falsarug,Melastomataceae,,S,,
Miconia grancordata,Melastomataceae,,S,,
Miconia hypoleuca.aff,Melastomataceae,Benth.,>10 cm dbh,,
Miconia indet1,Melastomataceae,,,,
Miconia indet2,Melastomataceae,,,,
Miconia indet3,Melastomataceae,,,,
Miconia indet4,Melastomataceae,,,,
Miconia jp15691,Melastomataceae,,>10 cm dbh,,
Miconia jp15691,Melastomataceae,,>10 cm dbh,,
Miconia juanito,Melastomataceae,,S,,
Miconia karina,Melastomataceae,,S,,
Miconia medglauca,Melastomataceae,,U,,
Miconia navioensis.cf,Melastomataceae,Wurdack,>10 cm dbh,,
Miconia nerviblanco,Melastomataceae,,M,,
Miconia peqdorada,Melastomataceae,,U,,
Miconia purpono,Melastomataceae,,U,,
Miconia rosablanca,Melastomataceae,,U,,
Miconia roselegante,Melastomataceae,,U,,
Miconia sachapurp,Melastomataceae,,U,,
Miconia smaragdina_aff.,Melastomataceae,,,,
Miconia sp(FPR),Melastomataceae,,>10 cm dbh,,
Miconia sp.,Melastomataceae,,,,
Miconia sp.(MS),Melastomataceae,,>10 cm dbh,,
Miconia sp.1,Melastomataceae,,,,
Miconia sp.1,Melastomataceae,,,,
Miconia sp.1,Melastomataceae,,,,
Miconia sp.10,Melastomataceae,,,,
Miconia sp.10,Melastomataceae,,,,
Miconia sp.11,Melastomataceae,,,,
Miconia sp.14,Melastomataceae,,,,
Miconia sp.19,Melastomataceae,,,,
Miconia sp.2,Melastomataceae,,,,
Miconia sp.2,Melastomataceae,,,,
Miconia sp.2,Melastomataceae,2,,,
Miconia sp.3,Melastomataceae,,,,
Miconia sp.3,Melastomataceae,,,,
Miconia sp.3,Melastomataceae,,,,
Miconia sp.3,Melastomataceae,,,,
Miconia sp.37,Melastomataceae,,,,
Miconia sp.4,Melastomataceae,,,,
Miconia sp.5,Melastomataceae,,,,
Miconia sp.5,Melastomataceae,,,,
Miconia sp.6,Melastomataceae,,,,
Miconia sp.7,Melastomataceae,,,,
Miconia sp.8,Melastomataceae,,,,
Miconia sp.8,Melastomataceae,,,,
Miconia sp.9,Melastomataceae,,,,
Miconia sp2(FPR),Melastomataceae,,>10 cm dbh,,
Miconia sp_10,Melastomataceae,,S,,
Miconia sp_5,Melastomataceae,,S,,
Miconia sp_8,Melastomataceae,,M,,
Miconia sp_jbr1561,Melastomataceae,,T,,
Miconia sp_mss867,Melastomataceae,,T,,
Miconia spx,Melastomataceae,,>10 cm dbh,,
"Miconia spx.AG58027,PN16770",Melastomataceae,,,,
Miconia spx.Acevedo9785?,Melastomataceae,,,,
Miconia spx.peludo,Melastomataceae,,,,
Miconia tetragona.cf,Melastomataceae,Cogn.,>10 cm dbh,,
Miconia tetrasperma.cf,Melastomataceae,Gleason,>10 cm dbh,,
Miconia tipica,Melastomataceae,,U,,
Micrandra MS6602,Euphorbiaceae,,>10 cm dbh,,
Micrandra minor.cf,Euphorbiaceae,,>10 cm dbh,,
Micrandra sp(AD),Euphorbiaceae,,>10 cm dbh,,
Micrandra sp_pap1791,Euphorbiaceae,,T,,
Micrandra spx,Euphorbiaceae,,>10 cm dbh,,
Micropholis MS3825,Sapotaceae,,>10 cm dbh,,
Micropholis ar4465,Sapotaceae,,>10 cm dbh,,
Micropholis dorada,Sapotaceae,,M,,
Micropholis duckeana,Sapotaceae,,T,,
Micropholis guyanensis1.aff,Sapotaceae,,>10 cm dbh,,
Micropholis guyanensis2.aff,Sapotaceae,,>10 cm dbh,,
Micropholis indet1,Sapotaceae,,,,
Micropholis obscura/casiquarensis,Sapotaceae,,T,,
Micropholis sp(FPR),Sapotaceae,,>10 cm dbh,,
Micropholis sp(NH),Sapotaceae,,>10 cm dbh,,
Micropholis sp.1,Sapotaceae,,,,
Micropholis sp.1,Sapotaceae,,,,
Micropholis sp.10,Sapotaceae,,,,
Micropholis sp.11,Sapotaceae,,,,
Micropholis sp.12,Sapotaceae,,,,
Micropholis sp.13,Sapotaceae,,,,
Micropholis sp.14,Sapotaceae,,,,
