plot	subplot	census_date	easting	northing	adult_density	sapling_density	ABG_biomass
P67	1	7/14/2004	712781.581	5092382.939	119.4632516105	552.6214427067	24.234679846
P67	2	7/15/2004	712783	5092421	776.5111354683	3315.7286562402	135.5076300882
P67	3	7/15/2004	712822	5092366	1134.9008902999	552.6214427067	74.9388250913
P67	4	7/15/2004	712746	5092355	477.8530064421	1657.8643281201	42.7173736893
P68	1	7/14/2004	712831.03	5092241.61	0	1105.2428854134	0.5241416747
P68	2	7/14/2004	712862	5092224	0	552.6214427067	1.519147431
P68	3	7/14/2004	712862	5092224	0	0	0
P68	4	7/14/2004	712799	5092225	179.1948774158	0	23.955143754
P69	1	8/5/2004	712306.359	5093107.815	238.926503221	1105.2428854134	57.4477677112
P69	2	8/5/2004	712299	5093162	657.0478838578	3868.3500989469	244.0274588413
P69	3	8/5/2004	712327	5093072	238.926503221	16578.6432812009	87.7053251859
P69	4	8/5/2004	712273	5093106	836.2427612736	552.6214427067	175.0157343814
P7	1	7/8/2004	710826.784	5090934.448	537.5846322473	1657.8643281201	187.0549970121
P7	2	7/8/2004	710822	5090970	716.7795096631	10499.8074114272	180.0800023198
P7	3	7/8/2004	710822	5090910	537.5846322473	2763.1072135335	161.7882480135
P7	4	7/8/2004	710782	5090905	238.926503221	1657.8643281201	34.2596524249
P70	1	8/5/2004	711970.688	5093153.554	537.5846322473	0	274.6346131025
P70	2	8/5/2004	711973	5093156	358.3897548315	1105.2428854134	216.2436643371
P70	3	8/5/2004	711997	5093078	597.3162580526	0	69.0087039332
P70	4	8/5/2004	711970	5093030	418.1213806368	0	279.2760396099
P71	1	8/5/2004	712129.986	5093398.392	358.3897548315	552.6214427067	168.1134857508
P71	2	8/5/2004	712124	5093433	358.3897548315	552.6214427067	125.5057237778
P71	3	8/5/2004	712172	5093354	418.1213806368	2210.4857708268	133.0149834592
P71	4	8/5/2004	712084	5093338	477.8530064421	0	129.5243978381
P72	1	7/15/2004	711696.506	5093537.426	179.1948774158	13815.5360676674	51.4793953065
P72	2	7/15/2004	711736	5093587	418.1213806368	3315.7286562402	141.1614078087
P72	3	7/15/2004	711751	5093548	358.3897548315	5526.214427067	68.9128842479
P72	4	7/15/2004	711704	5093534	358.3897548315	1105.2428854134	102.4235580963
P73	1	8/9/2004	711464.79	5093594.962	477.8530064421	8289.3216406004	93.2793612492
P73	2	8/9/2004	711476	5093628	537.5846322473	1657.8643281201	116.1048771795
P73	3	8/9/2004	711497	5093581	477.8530064421	1657.8643281201	145.2616783865
P73	4	8/9/2004	711437	5093597	418.1213806368	0	28.7978672681
P74	1	7/20/2004	710731.963	5093371.965	776.5111354683	8841.9430833071	78.7091962492
P74	2	7/20/2004	710746	5093379	418.1213806368	4420.9715416536	52.5097020656
P74	3	7/20/2004	710760	5093315	1194.6325161051	0	163.3858597905
P74	4	7/20/2004	710704	5093316	836.2427612736	3868.3500989469	134.1021375986
P75	1	7/20/2004	710891.882	5093165.32	298.6581290263	4973.5929843603	42.6850523981
P75	2	7/21/2004	710871	5093220	597.3162580526	552.6214427067	142.5580318835
P75	3	7/22/2004	710878	5093168	955.7060128841	552.6214427067	84.8602909979
P75	4	7/23/2004	710828	5093147	418.1213806368	3315.7286562402	59.0971265343
P76	1	7/28/2004	711223.559	5093937.348	477.8530064421	1657.8643281201	42.2300173806
P76	2	7/28/2004	711178	5093992	298.6581290263	3315.7286562402	50.1831712641
P76	3	7/28/2004	711232	5093938	179.1948774158	6631.4573124804	30.9427291898
P76	4	7/28/2004	711169	5093943	119.4632516105	6078.8358697737	50.8877278236
P77	1	7/26/2004	711869.84	5094043.693	119.4632516105	0	0
P77	2	7/26/2004	711859	5094063	836.2427612736	4973.5929843603	179.2436557998
P77	3	7/26/2004	711900	5094016	477.8530064421	8289.3216406004	190.2307055119
P77	4	7/26/2004	711838	5094025	418.1213806368	14368.1575103741	153.6344315137
P78	1	7/29/2004	711366.719	5092680.478	597.3162580526	552.6214427067	112.734779706
P78	2	7/29/2004	711372	5092681	358.3897548315	2763.1072135335	115.2878231415
P78	3	7/29/2004	711424	5092616	179.1948774158	2763.1072135335	93.5930910535
P78	4	7/29/2004	711366	5092585	537.5846322473	0	155.9440049358
P79	1	7/19/2004	709781.064	5093446.326	59.7316258053	3868.3500989469	10.2965162283
P79	2	7/19/2004	709791	5093452	597.3162580526	6631.4573124804	173.6709952066
P79	3	7/19/2004	709805	5093439	537.5846322473	2210.4857708268	43.4058322152
P79	4	7/19/2004	709776	5093403	0	13815.5360676674	20.4715124844
P8	1	7/8/2004	710916.331	5091003.928	238.926503221	5526.214427067	88.9181426811
P8	2	7/8/2004	710926	5091040	597.3162580526	4420.9715416536	142.4938480709
P8	3	7/8/2004	710955	5090953	298.6581290263	0	77.5469115097
P8	4	7/8/2004	710870	5090995	238.926503221	1105.2428854134	37.0562803549
P80	1	8/4/2004	709370.512	5093587.788	716.7795096631	2210.4857708268	181.1702924466
P80	2	8/4/2004	709334	5093645	0	0	0
P80	3	8/4/2004	709376	5093578	537.5846322473	0	72.6750244029
P80	4	8/4/2004	709321	5093581	836.2427612736	1105.2428854134	220.7472208619
P81	1	8/17/2024	708955	5093312	477.8530064421	25420.586364508	137.8300394928
P81	2	8/17/2024	708961	5093353	477.8530064421	6631.4573124804	105.9895559246
P81	3	8/17/2024	708981	5093300	418.1213806368	7736.7001978937	94.4251070344
P81	4	8/17/2024	708929	5093300	418.1213806368	552.6214427067	192.3155369709
P82	1	8/17/2024	708888	5092979	418.1213806368	2210.4857708268	142.3233503131
P82	2	8/17/2024	708864	5092971	298.6581290263	2210.4857708268	122.5491297486
P82	3	8/17/2024	708977	5092965	597.3162580526	1105.2428854134	179.0233965835
P82	4	8/17/2024	708871	5092956	358.3897548315	0	126.9289475186
P83	1	8/16/2004	709098	5093986	0	0	0
P83	2	8/16/2004	709102	5094031	597.3162580526	9394.5645260138	83.0877970776
P83	3	8/16/2004	709119	5093976	119.4632516105	11052.4288541339	48.084313869
P83	4	8/16/2004	709068	5093967	0	14368.1575103741	107.6942499389
P84	1	8/19/2004	708481	5093868	895.9743870789	2763.1072135335	123.3758543286
P84	2	8/19/2004	708491	5093901	1553.0222709367	1657.8643281201	153.1653183985
P84	3	8/19/2004	708528	5083849	477.8530064421	6078.8358697737	69.8682226079
P84	4	8/19/2004	708527	5093833	836.2427612736	10499.8074114272	141.0184220364
P85	1	8/16/2004	708238	5093380	657.0478838578	6631.4573124804	245.8267094124
P85	2	8/16/2004	708227	5093361	895.9743870789	0	154.6130628445
