"year","years_per_iteration","surface_elevation","aboveground_biomass","belowground_biomass","totalRootVolume","sediment_delivered","rootToShoot","rootTurnover","abovegroundTurnover","rootDepthMax","rootPackingDensity","lambda","rootShape","cumulativeTotalOm","cumulativeSequesteredOm","omFlux","omSequestration","cFlux","cSequestration"
2006,1,30.9189203910729,0.04597412947083,0.078156020100411,1.11651457286301,0.000146515921881598,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.701248682928,71.5696221336598,0.0484182987691213,0.0457941573405662,0.0232407834091782,0.0219811955234718
2007,1,31.4072676437136,0.0468999435987443,0.0797299041178653,1.13899863025522,0.000151841685577023,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.7507689851124,71.6164847735747,0.0495203021844333,0.0468626399148633,0.023769745048528,0.0224940671591344
2008,1,31.9065594766022,0.0478319018031037,0.0813142330652763,1.16163190093252,0.000157468699240601,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.8013977686939,71.6644305588259,0.0506287835814305,0.0479457852511871,0.0243018161190867,0.0230139769205698
2009,1,32.416649082002,0.0487601515387224,0.082892257615828,1.18417510879754,0.000163364682724517,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.8531178723911,71.7134666003886,0.051720103697221,0.0490360415627293,0.0248256497746661,0.0235372999501101
2010,1,32.9374480629035,0.0496815971570288,0.084458715166949,1.20655307381356,0.000169535357092583,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.9059079151554,71.7635884317866,0.0527900427643004,0.0501218313979876,0.0253392205268642,0.0240584790710341
2011,1,33.4687921778412,0.0505924386426919,0.0860071456925763,1.22867350989395,0.000175981314314298,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,71.959749579637,71.8147879496029,0.0538416644816238,0.0511995178163147,0.0258439989511794,0.0245757685518311
2012,1,34.0104997768764,0.0514898705656406,0.087532779961589,1.25046828516556,0.000182709526676344,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.0146210264233,71.8670525862131,0.0548714467862794,0.0522646366102322,0.0263382944574141,0.0250870255729114
2013,1,34.5623571470612,0.0523712600599189,0.0890311421018621,1.27187345859803,0.000189728625741117,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.0704985754881,71.9203664788691,0.0558775490648031,0.0533138926559786,0.0268212235511055,0.0255906684748697
2014,1,35.124126186187,0.0532342612602603,0.0904982441424425,1.29283205917775,0.000197050406914178,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.1273561570497,71.9747106727916,0.0568575815615588,0.0543441939225318,0.0272916391495482,0.0260852130828152
2015,1,35.6955434603602,0.0540766566372561,0.0919303162833354,1.31329023261908,0.000204689386799008,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.1851655043705,72.0300634587052,0.0578093473207986,0.0553527859135272,0.0277484867139833,0.0265693372384931
2016,1,36.2763208392865,0.0548962991283322,0.0933237085181647,1.33319583597378,0.000212663128001756,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.2438960212688,72.0864005239081,0.0587305168983647,0.0563370652028965,0.0281906481112151,0.0270417912973903
2017,1,36.8661445615226,0.0556910323820552,0.0946747550494938,1.35249650070705,0.000220992435399705,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.3035146597452,72.1436950353315,0.0596186384763655,0.0572945114234074,0.0286169464686554,0.0275013654832355
2018,1,37.464673692966,0.0564586212000089,0.0959796560400151,1.37113794342879,0.000229701720815104,1.7,0.5,1.5,40,0.07,0.0748933068388498,0,72.3639856966594,72.2019176288769,0.0604710369142509,0.0582225935453948,0.0290260977188404,0.0279468449017895
