wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
789,1.47003,0.000008767,0,0.025,2.3
790,1.46986,0.000007272,0,0.0247,2.3
791,1.4697,0.000005912,0,0.0245,2.3
792,1.46953,0.000004688,0,0.0241,2.3
793,1.46934,0.000003602,0,0.0239,2.3
794,1.46915,0.000002656,0,0.0237,2.3
795,1.46896,0.000001851,0,0.0236,2.3
796,1.46877,0.000001189,0,0.0234,2.3
797,1.46858,0.000000671,0,0.0232,2.3
798,1.4684,0.000000299,0,0.023,2.3
799,1.46824,0.000000075,0,0.0228,2.3
800,1.46808,0,0,0.0225,2.3
801,1.46792,0,0,0.0224,2.3
802,1.46775,0,0,0.0224,2.3
803,1.46757,0,0,0.0222,2.3
804,1.46738,0,0,0.022,2.3
805,1.4672,0,0,0.022,2.3
806,1.46701,0,0,0.022,2.3
807,1.46684,0,0,0.022,2.3
808,1.46667,0,0,0.0218,2.3
809,1.46652,0,0,0.0219,2.3
810,1.46637,0,0,0.0219,2.3
811,1.46622,0,0,0.0219,2.3
812,1.46606,0,0,0.022,2.3
813,1.46589,0,0,0.0221,2.3
814,1.46573,0,0,0.0222,2.3
815,1.46557,0,0,0.0223,2.3
816,1.46539,0,0,0.0225,2.3
817,1.46523,0,0,0.0228,2.3
818,1.46508,0,0,0.023,2.3
819,1.46493,0,0,0.0231,2.3
820,1.46479,0,0,0.0233,2.3
821,1.46464,0,0,0.0239,2.3
822,1.46447,0,0,0.0245,2.3
823,1.46431,0,0,0.0248,2.3
824,1.46414,0,0,0.0252,2.3
825,1.46396,0,0,0.0262,2.3
826,1.46379,0,0,0.0277,2.3
827,1.46363,0,0,0.0283,2.3
828,1.46347,0,0,0.0291,2.3
829,1.4633,0,0,0.0311,2.3
830,1.46315,0,0,0.0321,2.3
831,1.46299,0,0,0.033,2.3
832,1.46284,0,0,0.0346,2.3
833,1.4627,0,0,0.0361,2.3
834,1.46258,0,0,0.0366,2.3
835,1.46247,0,0,0.037,2.3
836,1.46235,0,0,0.0379,2.3
837,1.4622,0,0,0.0383,2.3
838,1.46205,0,0,0.0385,2.3
839,1.46189,0,0,0.0391,2.3
840,1.46174,0,0,0.0395,2.3
841,1.46161,0,0,0.0397,2.3
842,1.46146,0,0,0.04,2.3
843,1.46131,0,0,0.0404,2.3
844,1.46115,0,0,0.0406,2.3
845,1.461,0,0,0.0407,2.3
846,1.46085,0,0,0.0411,2.3
847,1.4607,0,0,0.0413,2.3
848,1.46055,0,0,0.0415,2.3
849,1.46041,0,0,0.042,2.3
850,1.46027,0,0,0.042,2.3
851,1.46014,0,0,0.0422,2.3
852,1.46002,0,0,0.0425,2.3
853,1.45988,0,0,0.0427,2.3
854,1.45975,0,0,0.0428,2.3
855,1.45961,0,0,0.0431,2.3
856,1.45949,0,0,0.0436,2.3
857,1.45938,0,0,0.0437,2.3
858,1.45926,0,0,0.0438,2.3
859,1.45911,0,0,0.0443,2.3
860,1.45894,0,0,0.0445,2.3
861,1.45876,0,0,0.0447,2.3
862,1.45858,0,0,0.045,2.3
863,1.45844,0,0,0.0453,2.3
864,1.45833,0,0,0.0455,2.3
865,1.45824,0,0,0.0461,2.3
866,1.45817,0,0,0.0466,2.3
867,1.4581,0,0,0.0469,2.3
868,1.45802,0,0,0.0471,2.3
869,1.45791,0,0,0.0471,2.3
870,1.45776,0,0,0.0475,2.3
871,1.45759,0,0,0.0483,2.3
872,1.45742,0,0,0.0487,2.3
873,1.45726,0,0,0.0489,2.3
874,1.45709,0,0,0.0496,2.3
875,1.45694,0,0,0.0501,2.3
876,1.45679,0,0,0.0505,2.3
877,1.45664,0,0,0.0512,2.3
878,1.45649,0,0,0.0515,2.3
879,1.45634,0,0,0.052,2.3
880,1.4562,0,0,0.053,2.3
881,1.45607,0,0,0.0535,2.3
882,1.45593,0,0,0.0539,2.3
883,1.45578,0,0,0.0546,2.3
884,1.45562,0,0,0.0553,2.3
885,1.45546,0,0,0.0557,2.3
886,1.45529,0,0,0.056,2.3
887,1.45513,0,0,0.0565,2.3
888,1.45498,0,0,0.0575,2.3
889,1.45484,0,0,0.0579,2.3
890,1.4547,0,0,0.0583,2.3
891,1.45455,0,0,0.0592,2.3
892,1.4544,0,0,0.0598,2.3
893,1.45425,0,0,0.0601,2.3
